0	100	0	500
734	100	0	500
169	100	0	427
131	100	0	360
130	100	0	293
126	100	0	224
98	100	0	149
63	100	0	65
140	100	100	100
60	100	200	115
74	100	300	134
278	100	300	103
152	100	300	42
62	100	400	57
59	100	500	72
58	100	600	87
58	100	700	101
57	100	800	116
58	100	900	130
58	100	1000	145
61	100	1100	160
58	100	1200	175
58	100	1300	190
58	100	1400	204
58	100	1500	219
58	100	1600	233
58	100	1700	248
58	100	1800	262
64	100	1900	279
59	100	2000	293
60	100	2100	309
172	100	2000	152
65	100	2100	168
98	100	2100	93
110	100	2200	122
76	100	2200	39
106	100	2300	66
59	100	2400	81
59	100	2500	95
59	100	2600	110
58	100	2700	125
57	100	2800	139
56	100	2900	153
56	100	3000	167
63	100	3100	183
58	100	3200	198
58	100	3300	212
58	100	3400	227
58	100	3500	242
58	100	3600	256
65	100	3700	273
58	100	3800	287
63	100	3900	303
58	100	4000	318
61	100	4000	233
318	100	3900	113
63	100	4000	129
98	100	4000	53
97	100	4100	77
106	100	4200	104
63	100	4300	120
58	100	4400	134
58	100	4500	149
58	100	4600	164
58	100	4700	178
58	100	4800	193
57	100	4900	207
57	100	5000	222
102	100	5100	247
58	100	5200	262
58	100	5300	277
58	100	5400	291
58	100	5500	306
58	100	5600	321
59	100	5700	336
65	100	5700	252
137	100	5700	186
112	100	5700	115
75	100	5800	133
110	100	5800	61
100	100	5900	86
100	100	6000	111
60	100	6100	126
63	100	6200	142
59	100	6300	156
59	100	6400	171
59	100	6500	186
59	100	6600	201
59	100	6700	216
93	100	6800	239
62	100	6900	255
62	100	7000	271
60	100	7100	286
59	100	7200	301
60	100	7300	316
59	100	7400	330
59	100	7500	345
130	100	7400	178
135	100	7300	12
113	100	7400	40
59	100	7500	55
71	100	7600	73
58	100	7700	88
57	100	7800	102
96	100	7900	126
58	100	8000	141
58	100	8100	156
62	100	8200	171
58	100	8300	186
57	100	8400	200
58	100	8500	215
58	100	8600	229
94	100	8700	253
59	100	8800	268
58	100	8900	282
82	100	8900	203
129	100	8900	136
65	100	8900	52
60	100	9000	67
98	100	9100	92
60	100	9200	107
59	100	9300	122
59	100	9400	137
62	100	9500	152
59	100	9600	167
59	100	9700	182
59	100	9800	197
94	100	9900	221
62	100	10000	236
138	100	10000	271
107	100	10000	298
101	100	9700	23
67	100	9800	40
61	100	9900	55
59	100	10000	70
141	100	10000	106
101	100	10000	131
99	100	10000	156
99	100	10000	181
98	100	10000	205
101	100	10000	231
100	100	10000	256
100	100	10000	281
384	100	9700	77
87	100	9800	99
63	100	9900	115
59	100	10000	130
170	100	10000	172
104	100	10000	198
100	100	10000	223
105	100	10000	250
100	100	10000	275
72	100	9900	93
62	100	10000	109
101	100	10000	134
159	100	10000	174
102	100	10000	199
100	100	10000	224
100	100	10000	250
99	100	10000	275
102	100	10000	300
100	100	10000	325
