41281	196	1
41341	15	1
41394	14	1
41445	1	1
41497	68	1
41554	277	1
41607	12	1
41661	89	1
41715	179	1
41770	33	1
41824	6	1
41880	170	1
41934	54	1
41986	33	1
42039	78	1
42091	34	1
42145	1	1
42200	473	1
42253	241	1
42305	93	1
42361	43	1
42413	91	1
42466	87	1
42519	632	1
42575	43	1
42628	67	1
42682	88	1
42735	19	1
42790	12	1
42843	99	1
42895	8	1
42948	40	1
43000	68	1
43058	6	1
43111	12	1
43166	47	1
43220	39	1
43273	39	1
43325	150	1
43380	30	1
43433	298	1
43488	142	1
43541	5	1
43594	24	1
43646	69	1
43702	26	1
43755	130	1
43807	56	1
43863	86	1
43915	69	1
43967	193	1
44019	81	1
44072	83	1
44124	22	1
44177	31	1
44230	420	1
44285	90	1
44336	163	1
44389	7	1
44440	320	1
44493	100	1
44546	5	1
44601	116	1
44659	55	1
44712	67	1
44763	126	1
44816	39	1
44868	37	1
44921	187	1
44974	50	1
45044	14	1
45096	196	1
45150	59	1
45203	122	1
50202	128	1
50274	75	1
50404	443	1
50472	149	1
50539	98	1
50670	33	1
50738	56	1
50805	30	1
50937	55	1
51075	10	1
51141	93	1
51204	82	1
51343	79	1
51423	340	1
51489	112	1
51625	53	1
54193	60	1
67912	308	1
68015	217	1
68119	325	1
68221	24	1
68322	29	1
68423	14	1
68524	49	1
68624	114	1
68725	74	1
68822	357	1
68923	79	1
69020	130	1
69118	393	1
69236	24	1
69348	28	1
69462	113	1
69572	241	1
69687	31	1
69800	18	1
69910	125	1
73251	226	1
73368	31	1
73475	17	1
73585	175	1
73696	69	1
73802	220	1
73907	59	1
74006	74	1
74100	20	1
74195	45	1
74290	54	1
74385	56	1
74481	125	1
74578	44	1
74678	4	1
74778	5	1
74878	3	1
74982	17	1
75083	51	1
75184	173	1
75285	211	1
75386	263	1
75486	26	1
75587	19	1
75690	66	1
75791	151	1
75890	190	1
75987	24	1
76082	172	1
76178	36	1
76272	24	1
76369	39	1
76467	20	1
76568	245	1
76674	115	1
76775	22	1
76876	41	1
76978	112	1
77075	99	1
77171	93	1
77273	187	1
77371	204	1
77466	40	1
77563	48	1
77659	137	1
77755	76	1
77853	379	1
77947	6	1
78039	52	1
78132	21	1
78225	26	1
78328	10	1
80207	268	1
80343	56	1
80452	204	1
80559	15	1
80664	89	1
80770	36	1
80990	93	1
81231	28	1
81787	9	1
82112	107	1
82434	26	1
82646	59	1
83077	46	1
83184	11	1
83512	69	1
83969	110	1
84182	90	1
84612	324	1
85625	69	1
85845	116	1
86326	142	1
86551	98	1
86661	154	1
86772	201	1
86886	656	1
90219	39	1
90341	162	1
90463	112	1
90583	115	1
90701	20	1
90820	44	1
91535	523	1
91777	94	1
92160	29	1
92512	113	1
92763	13	1
92886	19	1
93022	319	1
94504	115	1
94607	32	1
94703	28	1
94800	15	1
94899	44	1
94998	35	1
95094	93	1
95192	118	1
95289	29	1
95385	119	1
95481	278	1
95580	48	1
95676	162	1
95775	4	1
95870	36	1
95966	39	1
96063	151	1
96160	91	1
96257	108	1
96354	113	1
96450	17	1
96545	55	1
96644	299	1
96741	77	1
97249	43	1
97345	277	1
97443	24	1
97541	86	1
97637	65	1
97732	63	1
97831	96	1
97927	13	1
104264	58	1
104387	92	1
104483	21	1
104578	52	1
104673	153	1
104769	76	1
104865	154	1
104964	7	1
105060	30	1
105158	118	1
105261	56	1
105358	357	1
105454	114	1
105550	21	1
105645	50	1
105743	9	1
105838	20	1
105932	60	1
106028	181	1
106124	39	1
106219	158	1
106315	192	1
106411	381	1
106507	9	1
106604	16	1
106700	108	1
106797	209	1
106895	123	1
106992	523	1
107089	123	1
107186	66	1
107291	22	1
107392	35	1
107490	10	1
107592	178	1
107695	244	1
107805	65	1
107912	22	1
108014	41	1
108116	140	1
108219	151	1
108328	69	1
108445	49	1
108543	43	1
108644	43	1
108744	77	1
108843	10	1
108943	23	1
109043	49	1
109147	103	1
109271	98	1
109374	44	1
109476	50	1
109604	57	1
109708	62	1
109810	29	1
109912	15	1
110015	6	1
110119	153	1
110224	63	1
110326	1	1
110428	168	1
110531	30	1
110633	242	1
110735	11	1
110838	4	1
110956	36	1
111059	245	1
111161	22	1
111263	62	1
111365	151	1
111495	78	1
111592	185	1
111689	92	1
111785	21	1
111884	74	1
111983	183	1
112080	298	1
112177	19	1
112272	35	1
112368	329	1
112465	177	1
112562	40	1
112661	18	1
112757	11	1
112852	171	1
112950	451	1
113046	17	1
113143	16	1
113243	123	1
113341	27	1
113437	2	1
113533	13	1
113632	4	1
113728	122	1
113825	16	1
113921	45	1
114016	22	1
114136	31	1
114233	46	1
114333	169	1
114430	49	1
114526	102	1
114622	31	1
114719	51	1
114816	68	1
114915	130	1
115015	107	1
115113	432	1
115212	263	1
115312	8	1
115410	121	1
115508	123	1
115607	6	1
115704	282	1
115803	126	1
115900	34	1
115998	75	1
116098	20	1
116197	69	1
116302	150	1
116401	1	1
116498	63	1
116600	63	1
116698	60	1
116795	266	1
116893	18	1
116991	139	1
117090	114	1
117188	37	1
117289	76	1
117384	100	1
117480	389	1
117577	181	1
117674	39	1
117774	12	1
117871	158	1
117967	2	1
118062	265	1
118159	151	1
118257	133	1
118353	78	1
118448	20	1
118544	132	1
118642	20	1
118738	181	1
118834	23	1
118929	34	1
119026	80	1
119124	146	1
119219	84	1
119315	32	1
119415	191	1
119512	35	1
119607	30	1
119703	7	1
119798	55	1
119896	273	1
119992	41	1
120087	6	1
120183	222	1
120280	45	1
120377	90	1
120471	35	1
120584	24	1
120681	102	1
120777	68	1
120872	428	1
120980	8	1
121080	61	1
121177	147	1
121286	49	1
121384	18	1
